names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
The Wailing,05/12/2016 ,73.0,"Horror, Mystery",A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.,"Kwak Do-won, Jong-Goo, Hwang Jung-min, Il-Gwang, Chun Woo-hee, Moo Myeong, Jun Kunimura, The Stranger, Kim Hwan-hee, Hyo-jin, Heo Jin, Mother-in-law, Jang So-yeon, Jong-Goo's wife, Kim Do-yoon, Yang Yi-sam, Jo Han-chul, Detective 1", 곡성, Released, Korean,10951000.0,49851770.0,KR
Good Mourning,05/20/2022 ,57.0,Comedy,Movie star London Clash gets his world turned upside down when he must choose between pursuing his one true love and landing a life-changing starring role in a major motion picture.,"Machine Gun Kelly, London Clash, Mod Sun, Dylan, Becky G, Apple, Dove Cameron, Olive, Pete Davidson, Barry, Whitney Cummings, Maxine, Megan Fox, Kennedy, GaTa, Leo, Zach Villa, Angel",Good Mourning, Released, English,7406600.0,21348.0,US
Escape from the Planet of the Apes,05/20/1971 ,63.0,"Action, Science Fiction","The world is shocked by the appearance of three talking chimpanzees, who arrived mysteriously in a spacecraft. Intrigued by their intelligence, humans use them for research - until the apes attempt to escape.","Roddy McDowall, Cornelius, Kim Hunter, Dr. Zira, Bradford Dillman, Dr. Lewis Dixon, Natalie Trundy, Dr. Stephanie 'Stevie' Branton, Eric Braeden, Dr. Otto Hasslein, William Windom, The President, Sal Mineo, Dr. Milo, Albert Salmi, E-1, Jason Evers, E-2",Escape from the Planet of the Apes, Released, English,2500000.0,12300000.0,US
Little Manhattan,09/30/2005 ,72.0,"Comedy, Romance","Ten-year-old Gabe was just a normal kid growing up in Manhattan until Rosemary Telesco walked into his life, actually into his karate class. But before Gabe can tell Rosemary how he feels, she tells him she will not be going to public school any more. Gabe has a lot more to learn about life, love, and girls.","Josh Hutcherson, Gabe, Charlie Ray, Rosemary, Bradley Whitford, Adam, Cynthia Nixon, Leslie, Willie Garson, Ralph, J. Kyle Manzay, Master Coles, Josh Pais, Ronny, John Dossett, Mickey Telesco, Talia Balsam, Jackie Telesco",Little Manhattan, Released, English,385373.0,1117920.0,US
Lady Chatterley's Lover,05/27/1982 ,54.0,"Drama, Romance","After a crippling injury leaves her husband impotent, Lady Chatterly is torn between her love for her husband and her physical desires. With her husband's consent, she seeks out other means of fulfilling her needs.","Sylvia Kristel, Lady Constance Chatterley, Shane Briant, Sir Clifford Chatterley, Nicholas Clay, Oliver Mellors, Ann Mitchell, Ivy Bolton, Elizabeth Spriggs, Lady Eva, Pascale Rivault, Hilda, Anthony Stewart Head, Anton, Frank Moorey, The Priest, Bessie Love, Flora",Lady Chatterley's Lover, Released, English,88000000.0,314837194.0,AU
Beau Pere,09/15/1981 ,66.0,"Drama, Romance","Rémi is a man trapped in a deteriorating marriage. When his wife is unexpectedly killed in a car accident, Rémi is left with his stepdaughter, Marion, who chooses to stay with him rather than live with her birth father. After the initial shock passes, Rémi is caught off-guard when Marion begins expressing her attraction to him. Initially repulsed, Marion's mature beauty wears him down as he finally caves to her seductions.","Patrick Dewaere, Rémi, Ariel Besse, Marion, Maurice Ronet, Charly, Geneviève Mnich, Simone, Maurice Risch, Nicolas, Nathalie Baye, Charlotte, Nicole Garcia, Martine, Macha Méril, la Maîtresse de maison, Yves Gasc, Monsieur Doulens", Beau-père, Released, French,105200000.0,290912102.0,FR
Zombie Fight Club,10/23/2014 ,47.0,"Action, Horror","It's the end of the century at a corner of the city in a building riddled with crime - Everyone in the building has turned into zombies. After Jenny's boyfriend is killed in a zombie attack, she faces the challenge of surviving in the face of adversity. In order to stay alive, she struggles with Andy to flee danger.","Andy On, Andy, Jessica Cambensy, Jenny, Jack Kao, Wu Ming, Philip Ng Wan-Lung, Brawler, Michael Wong, Captain Ma, Terence Yin, Brother Fung, Derek Tsang, David, Abby Fung, Nana, Gu Bao-Ming, Uncle Liang", 屍城, Released, Chinese,127200000.0,933790755.0,HK
Para entrar a vivir,08/16/2022 ,54.0,"Comedy, Horror",We don't have an overview translated in English. Help us expand our database by adding one.,"Bárbara Goenaga, Ana, Gorka Otxoa, Maxi, Luisa Gavasa, Lucía, Kira Miró, Beti, Jorge Usón, Rafa",Para entrar a vivir, Released," Spanish, Castilian",96200000.0,281847101.4,ES
Addicted,10/10/2014 ,58.0,"Drama, Thriller",A gallerist risks her family and flourishing career when she enters into an affair with a talented painter and slowly loses control of her life.,"Boris Kodjoe, Jason Reynard, Brandon Gonzales, Tony, Cameron Mills, 10-year-old Zoe, Emayatzy Corinealdi, Brina, Garrett Hines, Benny, Hunter Burke, Shane, John Newberg, Balthazar Crayne, Kat Graham, Diamond, Maria Howell, Nina",Addicted, Released, English,5000000.0,17499242.0,US
The 12th Man,12/25/2017 ,73.0,"War, Drama","After a failed anti-Nazi sabotage mission leaves his eleven comrades dead, a Norwegian resistance fighter finds himself fleeing the Gestapo through the snowbound reaches of Scandinavia.","Thomas Gullestad, Jan Baalsrud, Jonathan Rhys Meyers, Kurt Stage, Marie Blokhus, Gudrun Grønvoll, Mads Sjøgård Pettersen, Marius Grønnvoll, Martin Kiefer, Walter Wenders, Vegar Hoel, Sigurd Eskeland, Håkon Thorstensen Nielsen, Erik Reichelt, Eirik Risholm Velle, Per Blindheim, Daniel Frikstad, Gabriel Salvesen", Den 12. mann, Released, Norwegian,7806306.0,9567121.0,NO
Maya the Bee Movie,01/07/2021 ,62.0,"Family, Animation","Freshly hatched bee Maya is a little whirlwind and won't follow the rules of the hive. One of these rules is not to trust the hornets that live beyond the meadow. When the Royal Jelly is stolen, the hornets are suspected and Maya is thought to be their accomplice. No one believes that she is the innocent victim and no one will stand by her except for her good-natured and best friend Willy. After a long and eventful journey to the hornets hive Maya and Willy soon discover the true culprit and the two friends finally bond with the other residents of the opulent meadow.","Coco Jack Gillies, Maya (voice), Kodi Smit-McPhee, Willy (voice), Richard Roxburgh, Flip (voice), Noah Taylor, Crawley (voice), Justine Clarke, Miss Cassandra (voice), Miriam Margolyes, The Queen (voice)",Maya the Bee Movie, Released, English,154000000.0,142599067.8,AU
