show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s5776,Movie,The Handmaiden,PARK CHAN-wook,"KIM MIN-hee, HA JUNG-woo, CHO JIN-woong, KIM HAE-sook, MOON SO-ri",,,2016,18+,145 min,"International, LGBTQ, Suspense","From PARK Chan-wook, the celebrated director of OLDBOY, LADY VENGEANCE and STOKER, comes a ravishing new crime drama. PARK presents a gripping and sensual tale of two women - a young Japanese Lady living on a secluded estate, and a Korean woman who is hired to serve as her new handmaiden, but is secretly plotting with a conman to defraud her of a large inheritance."
s5777,Movie,The Edge of Marlene,Ana Valine,"Suzanne Clément, Callum Keith Rennie, Paloma Kwiatkowski, Dakota Daulby",,,2016,16+,97 min,"Comedy, Drama","This darkly comic drama centers on mother/daughter con artists. Sammie lives with her pill-popping, alcoholic mom Marlene - this bittersweet journey leads us through their dysfunction, love & addiction, before an unusual deliverance."
s5778,Movie,The Booksellers,D. W. Young,"Parker Posey, Fran Lebowitz, Gay Talese",,,2020,7+,99 min,Documentary,A behind-the-scenes look at the New York rare book world.
s5779,TV Show,The Bay: The Beginning,,"Kristos Andrews, Mary Beth Evans, Matthew Ashford, Taylor Stanley, Real Andrews, Dylan Bruce, Nicolas Coster, Lane Davies, Sandra Dee Robinson, Jade Harlow, Martha Madison, Lilly Melgar, Tristan Rogers, Ignacio Serricchio, Charles Shaughnessy",,,2021,13+,1 Season,Drama,"Where it all started! This season re-edited and re-mastered introduces us to socialite Sara Garrett (Mary Beth Evans), her rebellious teenage son Pete Garrett (Kristos Andrews) and the rest of the complex denizens of Bay City. It begins with the aftermath of Sara's oldest son Brian's (originally played by Dylan Bruce) disastrous engagement party to his fiancée Zoey (Taylor Stanley's)."
s5780,Movie,The Bath Song & More Kids Songs - Super Simple Songs,Super Simple Songs,,,,2017,ALL,41 min,"Animation, Kids","This collection of 20 Super Simple Songs features original kids songs and classic nursery rhymes made simple. It includes children's favorites If You're Happy, Old MacDonald, Put On Your Shoes, The Wheels On The Bus, The Bath Song, Walking Walking, and many more! Great for preschool and younger."
s5781,Movie,The Adventures Of Tartu,Harold S. Bucquet,,,,1943,NR,103 min,Suspense,"Stevenson, a British soldier fluent in Rumanian and German, goes undercover to sabotage a German poison-gas factory. He turns himself into Jan Tartu, a member of the Rumanian Iron Guard."
s5782,Movie,Taken In,Travis Guba,"Ben Sharples, Raquel Bell",,,2021,13+,15 min,"Drama, Suspense","A disturbance is reported in a quiet neighborhood. When a police officer investigates, things aren't what they seem."
s5783,Movie,Stonewall,Nigel Finch,"Guillermo Diaz, Frederick Weller, Bruce MacVittie, Brendan Corbalis",,,1997,18+,92 min,"Arts, Entertainment, and Culture, LGBTQ","America comes out of the closet in this exuberant musical comedy based on real events. To the music of The Shangri-Las, Patti LaBelle and Judy Garland, Stonewall mixes outrageous lip-synching with glitter, romance and attitude."
s5784,TV Show,Stickin' Around,,"Ashley Taylor, Ashley Brown",,"June 12, 2021",1998,TV-G,3 Seasons,"Animation, Kids","Young best friends Stacy and Bradley have a unique ability that allows them to bring their fantasies to life. The kids are able to draw their own cartoons, bringing their imaginations to life. They often use their hand-drawn adventures to help them overcome obstacles they face, whether they involve school, bullies or even their parents."
s5785,Movie,Sound of Metal,Darius Marder,"Riz Ahmed, Olivia Cooke, Paul Raci, Lauren Ridloff, Mathieu Amalric",United States,,2020,R,121 min,Drama,"Metal drummer Ruben begins to lose his hearing. When a doctor tells him his condition will worsen, he thinks his career and life is over. His girlfriend Lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life. After being welcomed and accepted just as he is, Ruben must choose between his new normal and the life he once knew."
