names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
The Trial of the Chicago 7,10/16/2020 ,77.0,"Drama, History",What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.,"Eddie Redmayne, Tom Hayden, Sacha Baron Cohen, Abbie Hoffman, Joseph Gordon-Levitt, Richard Schultz, Michael Keaton, Ramsey Clark, Frank Langella, Judge Julius Hoffman, John Carroll Lynch, David Dellinger, Mark Rylance, William Kunstler, Alex Sharp, Rennie Davis, Yahya Abdul-Mateen II, Bobby Seale",The Trial of the Chicago 7, Released, English,35000000.0,116473.0,AU
Ilsa: She Wolf of the SS,10/01/1975 ,62.0,"Thriller, Horror, War",Ilsa is a warden at a Nazi death camp that conducts experiments on prisoners. Ilsa's goal is to prove that woman can withstand more pain and suffering than men and should be allowed to fight on the front lines.,"Dyanne Thorne, Ilsa, Gregory Knoph, Wolfe, Tony Mumolo, Mario, Maria Marx, Anna, Nicolle Riddell, Kata, Sandy Richman, Maigret, George Buck Flower, Binz (as C.D. Lafleuer), Rodina Keeler, Gretchen, Richard Kennedy, General (as Wolfgang Roehm)",Ilsa: She Wolf of the SS, Released, English,118600000.0,467034224.2,US
Scooby-Doo! and the Gourmet Ghost,08/28/2018 ,82.0,"Animation, Adventure, Crime, Family, Comedy","The Scooby gang visits a culinary resort run by Fred's uncle, Bobby Flay. While enjoying the sights, a ghost attacks the guests and destroys the resort, leaving the gang to put a stop to its threat.","Audrey Wasilewski, Chef Sue / Librarian (voice), Frank Welker, Scooby-Doo / Fred Jones (voice), Giada De Laurentiis, Giada De Laurentiis (voice), Salli Saffioti, Reporter / Nancy Metcalf (voice), Matthew Lillard, Shaggy Rogers (voice), Grey DeLisle, Daphne Blake (voice), Kate Micucci, Velma Dinkley (voice), Bobby Flay, Bobby Flay (voice), Jason Spisak, Bradley Bass (voice)",Scooby-Doo! and the Gourmet Ghost, Released, English,235000000.0,908565495.4,US
IO,01/18/2019 ,49.0,Science Fiction,"As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who's racing to catch the last shuttle off the planet.","Margaret Qualley, Sam Walden, Anthony Mackie, Micah, Danny Huston, Henry Walden, Tom Payne, Elon, Teagan Johnson, Boy (uncredited), Emma Fitzgerald, Radio Broadcaster, Justin Andrew Jamieson, TV Broadcast Newscaster",IO, Released, English,130200000.0,657284044.6,US
It's Only the End of the World,06/11/2016 ,72.0,Drama,"Louis, a terminally ill writer, returns home after a long absence to tell his family that he is dying.","Gaspard Ulliel, Louis-Jean Knipper, Nathalie Baye, Martine, Vincent Cassel, Antoine Knipper, Marion Cotillard, Catherine, Léa Seydoux, Suzanne Knipper, Antoine Desrochers, Pierre Jolicoeur, William Boyce Blanchette, Young Louis, Sasha Samar, Taxi Driver, Arthur Couillard, Little Boy on the Airplane", Juste la fin du monde, Released, French,10000000.0,64412531.8,AU
Secret Admirer,06/14/1985 ,70.0,"Comedy, Romance","When high-school heartthrob Michael receives an unsigned love letter, his guy friends convince him that it's from knock-out prom queen Deborah Anne. He then enlists his best friend, pretty honor student Toni, to help him pass his own anonymous letter to Debbie. But when Michael's younger brother snatches and misplaces the original letter, as well as the second letter also being mishandled, the mysteriously romantic words soon make their way into the hands of the adults in their families, touching off a scandalous soap opera of mixed-up motives, mistaken identities and misled emotions.","C. Thomas Howell, Michael Ryan, Lori Loughlin, Toni, Kelly Preston, Deborah Anne Fimple, Dee Wallace, Connie Ryan, Cliff DeYoung, George Ryan, Leigh Taylor-Young, Elizabeth Fimple, Fred Ward, Lou Fimple, Casey Siemaszko, Roger Despard, Courtney Gains, Doug",Secret Admirer, Released, English,40789400.0,8622757.0,US
Iron Sky: The Coming Race,09/01/2019 ,51.0,"Action, Comedy, Fantasy, Science Fiction, Adventure","Twenty Nine years after the events of Iron Sky, the former Nazi Moonbase has become the last refuge of mankind. Earth was devastated by a nuclear war, but buried deep under the wasteland lies a power that could save the last of humanity - or destroy it once and for all. An old enemy leads our heroes on an adventure into the Hollow Earth. To save humanity, they must fight the Vril, an ancient shapeshifting reptilian race and their army of dinosaurs.","Lara Rossi, Obianaju 'Obi' Washington, Vladimir Burlakov, Sasha, Kit Dale, Malcom, Julia Dietze, Renate Richter, Stephanie Paul, Vril Sarah Pallin/ Vril President, Tom Green, Donald, Udo Kier, Wolfgang Kortzfleisch, John Flanders, Gary the base commander, James Quinn, Deputy Commander Johan",Iron Sky: The Coming Race, Released, English,21000000.0,400900.0,AU
Basic,05/29/2003 ,65.0,"Action, Drama, Mystery, Thriller, Crime",A DEA agent investigates the disappearance of a legendary Army ranger drill sergeant and several of his cadets during a training exercise gone severely awry.,"John Travolta, DEA Agent Tom Hardy, Connie Nielsen, Capt. Julia Osborne, Samuel L. Jackson, Sgt. Nathan West, Giovanni Ribisi, Levi Kendall, Brian Van Holt, Raymond Dunbar, Dash Mihok, Mueller, Taye Diggs, Jay Pike, Roselyn Sánchez, Nunez, Tim Daly, Col. Bill Styles",Basic, Released, English,50000000.0,42598498.0,AU
Offender,08/08/2012 ,70.0,Thriller,Justice needs to be served at Britain's most notorious young offenders institute.,"Joe Cole, Tommy Nix, English Frank, Jake, Kimberley Nixon, Elise, Shaun Dooley, Nash, Vas Blackwood, Detective Boaz, Israel Oba, Mason, David Ajala, Kelvin, Jacob Anderson, Patrick, Mark Harris, Governor Davis",Offender, Released, English,2000000.0,142547544.4,GB
In the Electric Mist,07/17/2010 ,61.0,"Thriller, Drama, Crime, Mystery","Lt. Dave Robicheaux, a detective in New Iberia, Louisiana, is trying to link the murder of a local hooker to New Orleans mobster Julie (Baby Feet) Balboni, who is co-producer of a Civil War film. At the same time, after Elrod Sykes, the star of the film, reports finding another corpse in the Atchafalaya Swamp near the movie set, Robicheaux starts another investigation, believing the corpse to be the remains of a black man who he saw being murdered 35 years before.","Tommy Lee Jones, Dave Robicheaux, John Goodman, Julie 'Baby Feet' Balboni, Peter Sarsgaard, Elrod Sykes, Mary Steenburgen, Bootsie Robicheaux, Kelly Macdonald, Kelly Drummond, Justina Machado, Rosie Gomez, Ned Beatty, Twinky LeMoyne, James Gammon, Ben Hebert, Pruitt Taylor Vince, Lou Girard",In the Electric Mist, Released, English,88800000.0,578968982.6,AU
The Nutty Professor,09/19/1996 ,56.0,"Fantasy, Comedy, Romance, Science Fiction","Eddie Murphy stars as shy Dr. Sherman Klump, a kind, brilliant, 'calorifically challenged' genetic professor. When beautiful Carla Purty joins the university faculty, Sherman grows desperate to whittle his 400-pound frame down to size and win her heart. So, with one swig of his experimental fat-reducing serum, Sherman becomes 'Buddy Love', a fast-talking, pumped-up , plumped down Don Juan.","Eddie Murphy, Sherman Klump / Buddy Love / Papa / Mama / Grandma / Ernie, Jada Pinkett Smith, Carla Purty, James Coburn, Harlan Hartley, Larry Miller, Dean Richmond, Dave Chappelle, Reggie Warrington, John Ales, Jason, Athena Massey, Sexy Girl, Lisa Boyle, Sexy Girl, Patricia Wilson, Dean's Secretary",The Nutty Professor, Released, English,55000000.0,273814019.0,AU
High Strung,04/08/2016 ,71.0,"Music, Romance, Drama","When a hip hop violinist busking in the New York subway encounters a classical dancer on scholarship at the Manhattan Conservatory of the Arts, sparks fly. With the help of a hip hop dance crew they must find a common ground while preparing for a competition that could change their lives forever.","Keenan Kampa, Ruby, Nicholas Galitzine, Johnnie, Jane Seymour, Oksana, Sonoya Mizuno, Jazzy, Paul Freeman, Kramrovsky, Maia Morgenstern, Markova, Comfort Fedoke, PopTart, Richard Southgate, Kyle, Ian Eastwood, Rik",High Strung, Released, English,25091412.8,2093725.0,US
Far and Away,05/22/1992 ,67.0,"Adventure, Drama, Romance, Western","A young man leaves Ireland with his landlord's daughter after some trouble with her father, and they dream of owning land at the big giveaway in Oklahoma ca. 1893. When they get to the new land, they find jobs and begin saving money. The man becomes a local barehands boxer, and rides in glory until he is beaten, then his employers steal all the couple's money and they must fight off starvation in the winter, and try to keep their dream of owning land alive. Meanwhile, the woman's parents find out where she has gone and have come to America to find her and take her back.","Tom Cruise, Joseph Donnelly, Nicole Kidman, Shannon Christie, Thomas Gibson, Stephen Chase, Robert Prosky, Daniel Christie, Barbara Babcock, Nora Christie, Cyril Cusack, Danty Duff, Eileen Pollock, Mary Kay, Colm Meaney, Kelly, Douglas Gillison, Dermody",Far and Away, Released, English,60000000.0,137783840.0,US
Courage Under Fire,10/04/1996 ,65.0,"Drama, Thriller, Mystery, War","A US Army officer, who made a ""friendly fire"" mistake that was covered up, has been reassigned to a desk job. He is tasked to investigate a female chopper commander's worthiness to be awarded the Medal of Honor. At first all seems in order. But then he begins to notice inconsistencies between the testimonies of the witnesses...","Denzel Washington, Lieutenant Colonel Nathaniel Serling, Meg Ryan, Captain Karen Emma Walden, Lou Diamond Phillips, Staff Sergeant John Monfriez, Matt Damon, Ilario, Michael Moriarty, Brigadier General Hershberg, Michole Briana White, Maria, Bronson Pinchot, Bruno, Amy Hathaway, Annie, Diane Baker, Louise Boylar",Courage Under Fire, Released, English,46000000.0,100833145.0,AU
The Natural,09/20/1984 ,69.0,Drama,An unknown middle-aged batter named Roy Hobbs with a mysterious past appears out of nowhere to take a losing 1930s baseball team to the top of the league.,"Robert Redford, Roy Hobbs, Robert Duvall, Max Mercy, Glenn Close, Iris Gaines, Kim Basinger, Memo Paris, Wilford Brimley, Pop Fisher, Barbara Hershey, Harriet Bird, Robert Prosky, The Judge (il giudice), Richard Farnsworth, Red Blow, Joe Don Baker, The Whammer (""Il Martello"")",The Natural, Released, English,28000000.0,47951979.0,AU
L: change the WorLd,08/05/2008 ,59.0,"Fantasy, Action, Thriller, Science Fiction, Mystery","""The human whose name is written in the Death Note shall die."" After making the hardest decision ever, another serious case confronts L. There are only 23 days left and without his best partner Watari, L has to solve the case all by himself for the very first time.","Kenichi Matsuyama, L, Narushi Fukuda, Near, Mayuko Fukuda, Maki, Shingo Tsurumi, Kimihiko Nikaido, Youki Kudoh, Kimiko Kujo, Sei Hiraizumi, Dr. Koichi Matsudo, Bokuzo Masana, Asao Konishi, Yuta Kanai, Tamotsu Yoshizawa, Megumi Sato, Hotsune Misawa", L: Change the WorLd, Released, Japanese,19600000.0,30231200.0,AU
Cube 2: Hypercube,04/15/2002 ,55.0,"Thriller, Science Fiction, Mystery",The sequel to the low budget first film Cube. This time the prisoners find them selves in a more advanced cube environment that they must escape from before they are killed. A science fiction film where space and time have more than one path.,"Kari Matchett, Kate Filmore, Geraint Wyn Davies, Simon Grady, Grace Lynn Kung, Sasha, Matthew Ferguson, Max Reisler, Neil Crone, Jerry Whitehall, Barbara Gordon, Mrs. Paley, Lindsey Connell, Julia, Greer Kent, Becky Young, Bruce Gray, Colonel Maguire",Cube 2: Hypercube, Released, English,7900000.0,3563603.0,US
The House of Flowers: The Movie,06/23/2021 ,81.0,Drama,The De La Mora siblings concoct a mischievous plan to break into their old family home to retrieve a hidden treasure of significant importance.,"Cecilia Suárez, Paulina de la Mora, Aislinn Derbez, , Dario Yazbek Bernal, , Juan Pablo Medina, , Paco León, , Norma Angélica, , Angélica María, , Isabel Burr, , Ximena Sariñana, ", La Casa de las Flores: la película, Released," Spanish, Castilian",174400000.0,895189907.0,MX
All Star Superman,02/22/2011 ,69.0,"Science Fiction, Animation, Action, Adventure","Lex Luthor enacts his plan to rid the world of Superman, once and for all. Succeeding with solar radiation poisoning, the Man of Steel is slowly dying. With what little times remains, the Last Son of Krypton must confront the revealing of his secret identity to Lois Lane and face Luthor in a final battle.","James Denton, Superman / Clark Kent (voice), Christina Hendricks, Lois Lane (voice), Anthony LaPaglia, Lex Luthor (voice), Ed Asner, Perry White (voice), Linda Cardellini, Nasthalthia Luthor (voice), Matthew Gray Gubler, Jimmy Olsen (voice), Arnold Vosloo, Bar-El (voice), Frances Conroy, Martha Kent (voice), John DiMaggio, Samson / Ultra-Sphinx (voice)",All Star Superman, Released, English,3500000.0,243170289.8,US
Nobody's Hero,03/02/2022 ,62.0,Drama,"Clermont-Ferrand, central France. Médéric meets and falls in love with middle-aged sex worker Isadora, who is married. When the city center is the scene of a terrorist attack, Selim, a young, homeless guy, provokes a wave of paranoia by taking refuge in Médéric's building. Sympathizing with Selim, crazy about Isadora, Mederic's life suddenly turns into a mess.","Jean-Charles Clichet, Médéric, Noémie Lvovsky, Isadora, Iliès Kadri, Selim, Michel Masiero, M. Coq, Doria Tillier, Florence, Renaud Rutten, Gérard, Philippe Fretun, M. El Alaoui, Farida Rahouadj, Mme El Alaoui, Miveck Packa, Charlène", Viens je t'emmène, Released, French,110800000.0,408974526.0,FR
Legacy of Lies,08/06/2020 ,56.0,"Thriller, Action",An ex-MI6 agent is thrown back into the world of espionage and high stakes to uncover the shocking truth about operations conducted by unknown secret services.,"Scott Adkins, Martin Baxter, Honor Kneafsey, Lisa, Martin McDougall, Trevor, Yuliia Sobol, Sacha, Anna Butkevych, Tatyana, Sergey Kalantay, Zelenko, Andrea Vasiliou, Suzanne, Tom Ashley, CIA Tech, Matt Mitler, Mark Ramley",Legacy of Lies, Released, English,4500000.0,94583.0,UA
Dance of the Vampires,12/05/1968 ,70.0,"Comedy, Horror","A noted professor and his dim-witted apprentice fall prey to their inquiring vampires, while on the trail of the ominous damsel in distress.","Jack MacGowran, Professor Abronsius, Roman Polanski, Alfred, Alfie Bass, Shagal, the Inn-Keeper, Jessie Robins, Rebecca Shagal, Sharon Tate, Sarah Shagal, Ferdy Mayne, Count von Krolock / Narrator, Iain Quarrier, Herbert von Krolock, Terry Downes, Koukol, the Servant, Fiona Lewis, Magda, the Maid",Dance of the Vampires, Released, English,2000000.0,214883443.8,GB
Haikyuu!! The Movie: The End and the Beginning,07/03/2015 ,84.0,"Animation, Comedy, Drama","Shouyou Hinata, after losing to Kitagawa Daiichi Junior High's setter Tobio Kageyama in his first official volleyball match, transfers to Karasuno High, intent on finally having a proper volleyball team and getting his revenge on Kageyama. Upon arrival at Karasuno, however, Hinata finds out Kageyama has also gone to Karasuno. Initially at odds with each other, the two form an oddball combination and fight together with the other members of the volleyball club. Karasuno reunites with a former rival school, Nekoma High, in a practice match and reignites their school rivalry.","Ayumu Murase, Shouyou Hinata (voice), Kaito Ishikawa, Tobio Kageyama (voice), Koki Uchiyama, Kei Tsukishima (voice), Soma Saito, Tadashi Yamaguchi (voice), Nobuhiko Okamoto, Yuu Nishinoya (voice), Toshiki Masuda, Chikara Ennoshita (voice), Yuu Hayashi, Ryuunosuke Tanaka (voice), Miyu Irino, Koushi Sugawara (voice), Yoshimasa Hosoya, Azumane Asahi (voice)", ハイキュー!! 終わりと始まり, Released, Japanese,110880000.0,870531790.4,JP
Airheads,01/19/1995 ,61.0,"Comedy, Crime, Music",The Lone Rangers have heavy-metal dreams and a single demo tape they can't get anyone to play. The solution: Hijack an FM rock radio station and hold the deejays hostage until they agree to broadcast the band's tape.,"Brendan Fraser, Chester 'Chazz' Darvey, Steve Buscemi, Rex, Adam Sandler, Pip, Joe Mantegna, Ian, Chris Farley, Officer Wilson, Judd Nelson, Jimmie Wing, Amy Locane, Kayla, Michael McKean, Milo Jackson, David Arquette, Carter",Airheads, Released, English,23600000.0,5751882.0,AU
Adaptation.,12/26/2002 ,74.0,"Comedy, Crime, Drama","Nicolas Cage is Charlie Kaufman, a confused L.A. screenwriter overwhelmed by feelings of inadequacy, sexual frustration, self-loathing, and by the screenwriting ambitions of his freeloading twin brother Donald. While struggling to adapt ""The Orchid Thief,"" by Susan Orlean, Kaufman's life spins from pathetic to bizarre. The lives of Kaufman, Orlean's book, become strangely intertwined as each one's search for passion collides with the others'.","Nicolas Cage, Charlie Kaufman / Donald Kaufman, Meryl Streep, Susan Orlean, Chris Cooper, John Laroche, Tilda Swinton, Valerie Thomas, Jay Tavare, Matthew Osceola, Litefoot, Russell, Roger Willie, Randy, Jim Beaver, Ranger Tony, Cara Seymour, Amelia Kavan",Adaptation., Released, English,19000000.0,32801173.0,AU
Death Wish,01/10/1975 ,69.0,"Crime, Drama, Action","After his wife is murdered by street punks, a pacifistic New York City architect becomes a one-man vigilante squad, prowling the streets for would-be muggers after dark.","Charles Bronson, Paul Kersey, Hope Lange, Joanna Kersey, Vincent Gardenia, Frank Ochoa, Steven Keats, Jack Toby, William Redfield, Sam Kreutzer, Stuart Margolin, Aimes Jainchill, Stephen Elliott, Police Commissioner, Kathleen Tolan, Carol Toby, Jack Wallace, Hank",Death Wish, Released, English,30000000.0,48575965.0,AU
Chasers,04/22/1994 ,53.0,"Comedy, Romance","Military men Rock Reilly and Eddie Devane are tasked with taking a prisoner, blonde bombshell Toni Johnson, on what becomes an unforgettable road trip. Toni, an enlistee who's in trouble for deserting her unit, soon proves that she's craftier than most inmates.","Tom Berenger, Rock Reilly, William McNamara, Eddie Devane, Erika Eleniak, Toni Johnson, Crispin Glover, Howard Finster, Matthew Glave, Rory Blanes, Grand L. Bush, Vance Dooly, Dean Stockwell, Salesman Stig, Bitty Schram, Flo, Waitress, Gary Busey, Sergeant Vince Banger",Chasers, Released, English,5720000.0,1596687.0,US
Love Affair: Married Couple's Carpool,06/28/2018 ,20.0,Romance,"Dae-sung and Jung-won have been married for two years. They are car pooling with the married couple next door. Woo-sung and Tae-hee don't interfere with each others' lives. However, these two couple don't just share cars, they share each others' wives too...","Seo Won, Tae-hee, Lee Joon-hyun, Woo-seong, Kang Dae-ho, Dae-seong, Lee Jin-joo-I, Jeong-won", 밀애 : 부부카풀, Released, Korean,12001040.0,38139010.0,KR
It Could Happen to You,07/29/1994 ,65.0,"Comedy, Drama, Romance","Charlie Lang is a simple, kindhearted New York City cop. When he realizes he has no money to tip waitress Yvonne Biasi, Lang offers her half the winnings of his lottery ticket. Amazingly, the ticket happens to be a winner, in the sum of $4 million. True to his word, Lang proceeds to share the prize money with Biasi, which infuriates his greedy wife, Muriel. Not content with the arrangement, Muriel begins scheming to take all the money.","Nicolas Cage, Charlie Lang, Bridget Fonda, Yvonne Biasi, Rosie Perez, Muriel Lang, Wendell Pierce, Bo Williams, Isaac Hayes, Angel Dupree, Víctor Rojas, Jesu, Seymour Cassel, Jack Gross, Stanley Tucci, Eddie Biasi, J.E. Freeman, Sal Bontempo",It Could Happen to You, Released, English,20000000.0,37939757.0,US
5 Headed Shark Attack,07/30/2017 ,42.0,"Horror, Science Fiction","A beautiful island is home to thousands of species of aquatic life. Now there is a new species: the 5-Headed Shark is all heads and teeth. Shaped like a demented starfish, this monster terrorizes the open ocean before invading the beaches of Puerto Rico, endangering the once peaceful island paradise.","Chris Bruno, Red, Nikki Alexis Howard, Dr. Angie Yost, Lindsay Sawyer, Cait, Jeffrey Holsman, Thaddeus Marshall, Chris Costanzo, Ram, Amanda Méndez, Kathy, Ian Daryk, Juan, Jorge Navarro, Sean, Lorna Hernandez, Julia",5 Headed Shark Attack, Released, English,102300000.0,876627991.6,US
Flash Point,08/09/2007 ,70.0,Action,"Detective Sergeant Ma Jun, known for dispensing his own brand of justice during arrests, teams up with an undercover cop, Wilson, to try and bring down three merciless Vietnamese brothers running a smuggling ring in the months before mainland China's takeover of Hong Kong. Jun pursues the gang tirelessly, sometimes ignoring police protocols. A showdown is inevitable!","Donnie Yen, Det. Sgt. Ma Jun, Louis Koo, Wilson, Collin Chou, Tony, Ray Lui, Archer Sin, Xing Yu, Tiger, Fan Bingbing, Julie, Kent Cheng, Inspector Wong, Xu Qing, Madam Lau, Teresa Ha Ping, Tony's Mother", 導火線, Released, Cantonese,8000000.0,6177725.0,HK
Dirty Dancing: Havana Nights,05/13/2004 ,64.0,"Drama, Romance","In pre-revolution Cuba, Katey Miller is about to defy everyone's expectations. Instead of a parent-approved suitor, Katey is drawn to the sexy waiter, Javier, who spends his nights dancing in Havana's nightclubs. As she secretly learns to dance with Javier, she learns the meanings of love, sensuality and independence.","Diego Luna, Javier Suarez, Romola Garai, Katey Miller, Sela Ward, Jeannie Miller, John Slattery, Bert Miller, Jonathan Jackson, James Phelps, January Jones, Eve, Mika Boorem, Susie Miller, René Lavan, Carlos Suarez, Mýa, Lola Martinez",Dirty Dancing: Havana Nights, Released, English,25000000.0,27685016.0,AU
Last Moment of Clarity,01/01/2022 ,54.0,Thriller,"A normal New Yorker's life is upended when his girlfriend is murdered by the Bulgarian mob. He flees to Paris to hide from her killers. But three years later, he sees a similar looking woman on the silver screen. Obsession with past love takes Sam to Los Angeles to look for answers, only to put him back into the sights of the Bulgarians. An updated Hitchcockian thriller in the vein of Vertigo and Rear Window","Samara Weaving, Georgia, Carly Chaikin, Kat, Zach Avery, Sam, Brian Cox, Gilles, Udo Kier, Ivan, Hal Ozsan, Vince, Pasha D. Lychnikoff, Karl, Nicole Ansari-Cox, Gene, Alex Fernandez, Bill Rice",Last Moment of Clarity, Released, English,106600000.0,315524815.0,AU
The Great Battle,09/19/2018 ,73.0,"War, History, Action","Kingdom of Goguryeo, ancient Korea, 645. The ruthless Emperor Taizong of Tang invades the country and leads his armies towards the capital, achieving one victory after another, but on his way is the stronghold of Ansi, protected by General Yang Man-chu, who will do everything possible to stop the invasion, even if his troops are outnumbered by thousands of enemies.","Jo In-sung, Ansi Fortress General Yang Man-chun, Nam Joo-hyuk, Sa-mool, Taehak-do Head, Park Sung-woong, Li Shimin, Emperor Taizong of Tang, Bae Sung-woo, Ansi Fortress Aide-de-camp Choo Su-ji, Um Tae-goo, Horse Commanding General Pa-so, Kim Seol-hyun, Commanding General Baek Ha, Park Byung-eun, Returned Government Head Poong, Oh Dae-hwan, Battle-axes and Halberds Head Hwal-bo, Jung Eun-chae, Si-mi", 안시성, Released, Korean,13305000.0,41509280.0,KR
