names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
A Hard Day,05/29/2014 ,71.0,"Action, Crime, Thriller","After trying to cover up a car accident that left a man dead, a crooked homicide detective is stalked by a mysterious man claiming to have witnessed the event.","Lee Sun-kyun, Go Gun-su, Cho Jin-woong, Park Chang-min, Jeong Man-sik, Detective Choi, Shin Jung-geun, Chief of homicide, Shin Dong-mi, Younger sister, Heo Jung-eun, Min-a, Kim Dong-young, Detective Doh, Ju Seok-tae, Detective, Park Bo-gum, Officer Lee Jin-ho", 끝까지 간다, Released, Korean,23622012.8,19004.0,KR
The Messengers,02/02/2007 ,57.0,"Mystery, Thriller, Horror","When the Solomons trade in the craziness of big-city life for the quiet of a North Dakota farm, little do they expect the nightmare that follows. Soon after arriving, teenage Jess (Kristen Stewart) and her younger brother see terrifying apparitions and endure attacks from a supernatural source. Jess must warn her disbelieving family before it is too late to save them.","Kristen Stewart, Jess Solomon, Dylan McDermott, Roy, Penelope Ann Miller, Denise, John Corbett, Burwell, William B. Davis, Colby Price, Brent Briscoe, Plume, Jodelle Ferland, Michael Rollins, Tatiana Maslany, Lindsay Rollins, Evan Turner, Ben",The Messengers, Released, English,16000000.0,53774833.0,US
Other Side of the Box,10/31/2018 ,66.0,"Horror, Thriller",A couple receives a mysterious package from an old friend.,"Tyler Pochop, Man in the Box, Teagan Rose, Rachel, Joshua Schell, Shawn, Nick Tag, Ben",Other Side of the Box, Released, English,50140000.0,358606375.0,GB
Mackenna's Gold,05/09/1969 ,66.0,"Adventure, Action, Western","A bandit kidnaps a Marshal who has seen a map showing a gold vein on Indian lands, but other groups are looking for it too, while the Apache try to keep the secret location undisturbed.","Gregory Peck, Marshal MacKenna, Omar Sharif, Colorado, Camilla Sparv, Inga Bergmann, Julie Newmar, Hesh-Ke, Telly Savalas, Sergeant Tibbs, Keenan Wynn, Sanchez, Ted Cassidy, Hachita, Lee J. Cobb, The Editor, Raymond Massey, The Preacher",Mackenna's Gold, Released, English,7000000.0,277238035.8,US
Warlock: The Armageddon,09/24/1993 ,53.0,"Fantasy, Horror, Science Fiction, Action","Every six hundred years, a great evil has the opportunity to escape and unleash Armageddon. A group of five stones has the power to either free the evil, or banish it for another six hundred years. An order of Druids battles with a Warlock determined to unleash his father upon the world.","Julian Sands, Warlock, Chris Young, Kenny Travis, Paula Marshall, Samantha Ellison, Joanna Pacula, Paula Dare, Steve Kahan, Will Travis, R. G. Armstrong, Franks, Charles Hallahan, Ethan Larson, Bruce Glover, Ted Ellison, Craig Hurley, Andy",Warlock: The Armageddon, Released, English,3000000.0,3902679.0,US
French Exit,03/18/2021 ,56.0,"Drama, Comedy","“My plan was to die before the money ran out,” says 60-year-old penniless Manhattan socialite Frances Price, but things didn’t go as planned. Her husband Franklin has been dead for 12 years and with his vast inheritance gone, she cashes in the last of her possessions and resolves to live out her twilight days anonymously in a borrowed apartment in Paris, accompanied by her directionless son Malcolm and a cat named Small Frank—who may or may not embody the spirit of Frances’s dead husband.","Michelle Pfeiffer, Frances Price, Lucas Hedges, Malcolm Price, Tracy Letts, Franklin Price (voice), Valerie Mahaffey, Mme Reynard, Susan Coyne, Joan, Imogen Poots, Susan, Danielle Macdonald, Madeleine the Medium, Isaach De Bankolé, Julius, Daniel Di Tomasso, Tom",French Exit, Released, English,53400000.0,532412661.8,AU
Shoplifters,12/15/2018 ,79.0,"Drama, Family","After one of their shoplifting sessions, Osamu and his son come across a little girl in the freezing cold. At first reluctant to shelter the girl, Osamu’s wife agrees to take care of her after learning of the hardships she faces. Although the family is poor, barely making enough money to survive through petty crime, they seem to live happily together until an unforeseen incident reveals hidden secrets, testing the bonds that unite them.","Lily Franky, Osamu Shibata, Sakura Ando, Nobuyo Shibata, Mayu Matsuoka, Aki Shibata, Kairi Jo, Shota Shibata, Miyu Sasaki, Yuri, Kirin Kiki, Hatsue Shibata, Sosuke Ikematsu, 4 ban-san, Naoto Ogata, Yuzuru Shibata, Yôko Moriguchi, Yoko Shibata", 万引き家族, Released, Japanese,102460000.0,1010286272.6,AU
The Grapes of Wrath,05/22/1940 ,78.0,Drama,"Tom Joad returns to his home after a jail sentence to find his family kicked out of their farm due to foreclosure. He catches up with them on his Uncle’s farm, and joins them the next day as they head for California and a new life... Hopefully.","Henry Fonda, Tom Joad, Jane Darwell, Ma Joad, John Carradine, Casy, Charley Grapewin, Grandpa Joad, Dorris Bowdon, Rosasharn, Russell Simpson, Pa Joad, O. Z. Whitehead, Al Joad, John Qualen, Muley Graves, Eddie Quillan, Connie Rivers",The Grapes of Wrath, Released, English,800000.0,1591000.0,AU
My Brother's Wife,11/04/2005 ,63.0,"Romance, Drama","After almost 10 years of marriage, attractive Zoe discovers that her marriage lacks passion and surprise, and is seduced by the possibility of finding those sensations already forgotten in her husband's brother. From this premise a series of events lead these three characters to a dangerous game of revenges, secrets and passions. Two brothers and one woman: the triangle is outlined in a disquieting way. It is a bomb that triggers family secrets, the contained rage of desire and the unmanageable power of love. An exciting story that subjugates the viewer from beginning to end.  Even though Zoe/Sonia has been married to Ignacio/Ishan for about a decade, they are unable to have children. She wants to be intimate but he prefers to be ready for intimacy on Saturdays only, and she gets physically drawn to his artistic brother, Gonzalo/Rohan. Then things get complicated for her after she tests positive for motherhood and finds that her husband may be gay.","Bárbara Mori, Zoe, Manolo Cardona, Gonzalo, Christian Meier, Ignacio, Gaby Espino, Laura, Beto Cuevas, Padre Santiago, Bruno Bichir, Boris, Angélica Aragón, Cristina", La mujer de mi hermano, Released," Spanish, Castilian",128200000.0,563428871.8,MX
Breaking In,11/14/2018 ,60.0,"Thriller, Crime, Action","Shaun Russell takes her son and daughter on a weekend getaway to her late father's secluded, high-tech vacation home in the countryside. The family soon gets an unwelcome surprise when four men break into the house to find hidden money. After managing to escape, Shaun must now figure out a way to turn the tables on the desperate thieves and save her captive children.","Gabrielle Union, Shaun Russell, Billy Burke, Eddie, Richard Cabral, Duncan, Ajiona Alexus, Jasmine Russell, Levi Meaden, Sam, Seth Carr, Glover Russell, Mark Furze, Peter, Jason George, Justin Russell, Christa Miller, Maggie Harris",Breaking In, Released, English,6000000.0,51485382.0,AU
